City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Port Hedland,AU,-20.3167,118.5667,80.65,89,97,5.75,Clouds
262,Samarai,PG,-10.6167,150.6667,81.46,81,100,15.3,Rain
263,Yara,CU,20.2753,-76.9533,96.13,30,16,6.67,Clouds
264,Orchard Homes,US,46.8633,-114.0484,43.59,45,45,7.0,Clouds
265,La Ronge,CA,55.1001,-105.2842,34.05,55,100,10.36,Clouds
266,Roebourne,AU,-20.7833,117.1333,84.6,69,99,6.89,Clouds
267,Benghazi,LY,32.1167,20.0667,78.12,21,49,23.29,Clouds
268,Fort Nelson,CA,58.8053,-122.7002,22.59,80,100,10.36,Clouds
269,Rincon,US,32.296,-81.2354,71.56,95,100,9.82,Rain
270,Te Anau,NZ,-45.4167,167.7167,47.19,88,100,4.79,Clouds
271,Victoria Point,AU,-27.5833,153.3,69.19,89,86,1.01,Rain
272,Menongue,AO,-14.6585,17.691,66.42,90,60,3.62,Clouds
273,Coruripe,BR,-10.1256,-36.1756,83.46,66,82,8.46,Clouds
274,Caravelas,BR,-17.7125,-39.2481,85.44,57,1,9.46,Clear
275,San Cristobal,VE,7.7669,-72.225,71.78,46,94,7.23,Clouds
276,Sobolevo,RU,54.4299,31.8996,31.05,96,100,7.72,Clouds
277,Tabou,CI,4.423,-7.3528,82.89,76,53,7.81,Clouds
278,Belmonte,BR,-15.8631,-38.8828,83.46,63,20,7.58,Clouds
279,Dawson,US,31.7735,-84.4466,75.58,73,97,10.69,Clouds
280,Davidson,US,36.1501,-86.7833,49.12,66,100,16.11,Clouds
281,Sterling,US,39.0062,-77.4286,72.59,69,100,21.74,Clouds
282,Kaeo,NZ,-35.1,173.7833,60.33,96,54,2.3,Clouds
283,Nicoya,CR,10.1483,-85.452,94.89,34,99,3.4,Clouds
284,Davis,US,41.0005,-112.0013,45.3,84,100,8.05,Rain
285,Burnie,AU,-41.0667,145.9167,47.91,77,0,8.81,Clear
286,Ulaangom,MN,49.9811,92.0667,9.79,77,40,5.88,Clouds
287,Xushan,CN,30.1764,121.2457,51.73,85,100,9.64,Clouds
288,Bogor,ID,-6.5944,106.7892,79.9,90,100,3.42,Rain
289,Namibe,AO,-15.1961,12.1522,72.14,79,53,10.2,Clouds
290,Grand Gaube,MU,-20.0064,57.6608,79.2,79,95,8.01,Clouds
291,Chernaya Kholunitsa,RU,58.8511,51.7154,20.05,89,90,6.06,Clouds
292,Kavaratti,IN,10.5669,72.642,83.43,77,6,9.86,Clear
293,Aswan,EG,24.0934,32.907,85.14,9,31,9.53,Clouds
294,Lazaro Cardenas,MX,17.9583,-102.2,80.6,55,5,8.93,Clear
295,Keetmanshoop,NA,-26.5833,18.1333,79.72,47,60,9.22,Clouds
296,Thompson,CA,55.7435,-97.8558,35.76,44,75,6.91,Clouds
297,Mamakan,RU,57.8161,114.0028,14.56,95,93,4.92,Clouds
298,Chaman,PK,30.9236,66.4512,64.63,17,0,2.26,Clear
299,Tazovskiy,RU,67.4667,78.7,10.02,94,91,13.82,Clouds
300,Acapulco,MX,16.8634,-99.8901,81.97,47,38,8.01,Clouds
301,Fort Saint James,CA,54.4333,-124.25,41.77,45,7,9.53,Clear
302,Ewa Beach,US,21.3156,-158.0072,76.08,75,20,4.61,Clouds
303,Marsa Matruh,EG,31.3525,27.2453,67.8,49,34,11.56,Clouds
304,Litovko,RU,49.2361,135.1742,19.24,97,81,3.94,Snow
305,Ambulu,ID,-8.345,113.6058,75.27,92,72,3.15,Clouds
306,Sabang,ID,5.8933,95.3214,82.83,70,89,3.83,Clouds
307,Disna,BY,55.568,28.1971,27.14,57,89,6.17,Clouds
308,Chapais,CA,49.7834,-74.8492,31.78,97,100,13.33,Snow
309,Carroll,US,39.5501,-77.0164,71.91,69,100,11.01,Clouds
310,Puksoozero,RU,62.5903,40.6066,18.73,95,79,6.17,Snow
311,Yar-Sale,RU,66.8333,70.8333,15.57,80,100,20.09,Clouds
312,Beloha,MG,-25.1667,45.05,73.09,78,0,15.14,Clear
313,Colomi,BO,-17.35,-65.8667,68.02,77,99,6.4,Clouds
314,Lavrentiya,RU,65.5833,-171.0,11.07,83,73,11.18,Clouds
315,Predivinsk,RU,57.0669,93.4378,36.32,94,100,11.68,Clouds
316,Harer,ET,9.3094,42.1258,64.26,31,4,6.46,Clear
317,Fountain,US,38.6822,-104.7008,58.46,32,0,10.36,Clear
